Source,Beer,Rating,Review
Popular,Pliny The Elder,3.19,"Long time coming. I have been wanting to get my hands on this beer for a few years. If you know me, I love imperial stout, barleywine and double ipa. If it's not full bodied then probably not gonna rate very high on my list. This brew poured a very light tan with a thin head. Nose was very happy and floral. Mouthful was very light with little malt backbone. I was dissatisfied with the taste of a beer that is rated 100. Maybe 15 years ago but with the evolution of craft beer I find it hard to fathom this beer in the top 50 all time. I would rate it 3 out of 5. Just like Hopslam this beer is overhyped and in my opinion not worth all the accolades. Of I were to taste it on draft the outcome could be different, but like I said I prefer full bodied brews and lean towards other styles. So take it for what it's worth.

Cheers. TBB."
Popular,Pliny The Elder,4.55,"Appearance: Very slightly hazy gold, nice carbonation, good head.

Smell: Strong grapefruit, slight rind.

Taste: Moderately sweet to start, then a balancing shot of grapefruit bitterness. Stays balanced between sweet and bitter before the bitterness wins out in the finish.

Overall: Bottled 7/18, tasted 8/13. Bought in Colorado and brought back, a long-time want finally obtained after 26 hours of driving round trip (I did do other stuff on this trip, not just beer shopping). Just a classic flavor, nice balance but plenty of hoppy bitterness. Definitely worth the trip."
Popular,Pliny The Elder,4.4,"Appearance: Clarity is clear, silky head, laces the glass throughout the session and has a long lasting head retention. Perfect pale/bronze color.

Aroma: Hop forward aroma as expected, but not deep or complex with a light malty sweetness in the background.

Mouthfeel: The body is a thin to medium body, solid carbonation that sings on the tongue, small alcohol warmth.

Flavor: Complex hop characteristics, gives small citrus flavor off from hops with some black currant like flavors and a solid touch of pine and a touch of floral/perfumy like flavors, from the bittering to flavoring hop additions. Small sweetness from the malt flavor to act as the backbone. Long lasting hop bitterness sticks with you after each drink that is still pleasant to enjoy.

This is a solid and most importantly classic/quintessential West Coast style IPA and shows exactly the path from the old school IPA 2000s vibes with the heavy magnum bittering. This beer shows the depth of hops from each stage of the beer making process to give deep complexity to the hop flavor."
Popular,Pliny The Elder,4,"I HAD BEEN waiting for years to try this highly rated beer, poured in glasss brillant yellow with nice head. refreshing taste. popped open an original Lienenkugel and a Yuengling lager/ they ere both more taseful"
Popular,Pliny The Elder,4.44,"Pliny the Elder
Woodbury bar on tap Nonic pint

A- Golden-orange body capped with a 1/2 finger off-white head. Awesome thick lace left on the glass. Retains at a thin foam.

S- Grapefruit and Topical scents with a sugary doughy backbone. Robust and fresh. Leafy hops, tobacco, resin and herbs as it opens up.

T- Great balance of grapefruit hops up font. Doughy and sweet cracker malts in the middle like honey whole wheat. Grapefruit and herbal spicy black pepper hop finish. A little aspirin.

M- medium full body. Crisp. Hoppy bite.

O- Fresh drinkable IPA. No frills or quirky additions. Just a straight up solid IPA. I could see this as a go-to IPA if it was available. Definitely glad I finally got to try this classic brew on the last day of a SF trip.

4.5 4.25 4.5 4.5 4.5"
Popular,Pliny The Elder,4.35,"Poured from a 17.25 FL Oz bottle, bottled on 6-14-2022 so a month and 16 days old. Poured into spiegelau IPA glass.

On the pour a white nearly three finger head forms after a minute or two it slightly recedes making more room to pour, and I am able to get the head over the rim over the glass. Head becomes quite rocky but has very good retention. Carbonation after the pour looks quite ligjt and lazy. Body is a slightly dark gold. On the paler side of a lot of IPAs and with a very slight chill haze. Laces very nicely.

Aroma is quite bright with a hit of resinous grapefruit sweet hops. Some malt sweetness comes through, but the hops are very big on this one. A very sweet floral and citric smelling beer. Nothing off and very clean. More juicy than I expected.

Taste is similar to the aroma but a lot of the fruity qualities are traded for a big wave of bitterness that slowly fades leaving a resinous zesty but sweet and malty finish that lingers but is very nicely balanced after the big wave of hops. Despite the abv I can't really detect alcohol as the hops actually cover it up. Despite being super hoppy this isn't a mess and is very drinkable with a nice hop evolution that gives a good balance of bite to flavor.

Feel is soft and dangerously drinkable with a perfectly balanced carbonation bite to softness provided by the head. Honestly this is tasty af and I'm not an ipa guy nobody does everything right and maintains the balance. This feels like a benchmark and I could drink this all summer long if it wasn't 8% and so damn expensive.

Overall this beer is very hyped up. Don't get me wrong it's very good. There's essentially nothing wrong with it, the bitterness isn't cloying, but is pleasantly present, and it's big and hoppy without forgetting its a malt drink. It even looks beautiful. It's the perfect IPA, but everyone is trying to imitate it so unless this is you're whale you probably have a general idea of how this tastes, you've just had a similar but inferior beer. Is it worth the price? Maybe maybe not though. $7.99 for the bottle at a store in Colorado. Maybe I got scammed."
Popular,Pliny The Elder,4.82,"Comes in a crystal clear golden color, with a creamy, marshmallowy bright white head. Incredible retention with sheets of lacing.
The aroma doesn't explode from the glass, but it's nice. Earthy and piney, with pithy grapefruit. Think forest floor, littered with grapefruit peels. Potting soil, pine needles, pine cone, grapefruit peel, a touch of grass, and orange peel.
Juicy yellow grapefruit, and bright fresh white pine hit in equal measure. Grapefruit and orange peels and juice take over and dominate, but earthy pine needles remain in the background. The malt is subtle, biscuity, slightly toasty, offering a slight sweetness but remaining subtle. It finishes clean and crisp, moderately bitter. Hop oils, grapefruit and pine linger on your tongue and make the palate sticky.
Nice medium-plus body, good carbonation, moves quickly and smoothly on the palate but leaves a lasting impression.

This is every bit a world-class WCDIPA. Tastes phenomenal."
Popular,Pliny The Elder,4.4,"The look is clear straw to golden with a nice off-white head. Lots of nice lacing.
Aroma is piney and malty with a little dank to it. Taste is lightly fruity, piney, slightly sweet and moderately bitter. The mouthfeel is very nice with good carbonation, and a dry finish. Overall a delicious west coast IPA."
Popular,Pliny The Elder,4.28,"Man, I have been trying to get a hold of this for awhile now. Finally got to try some this week. I wanted so badly to love it! Man is this stuff overrated. Unbelievable. It is a delicious beer, don't get me wrong. But as they haven't changed the recipe (I don't think) this stuff IMHO is not worth seeking out if you've had all of the good stuff. You will be underwhelmed. It is a piney, resinous, hoppy west-coast IPA. I found it to be a glorified Sierra Nevada Torpedo."
Popular,Pliny The Elder,4.72,"Absolute stunner. I will never understand other reviewers that claim this beer is in the past. Would you dare poop poo on a Tree House New England style IPA for being stuck in the past? For some reason only pioneer West Coast IPA's get this treatment for their style, never the pioneers of hazy IPA's of the Northeast. This beer is extremely well crafted and balanced, while punching a piney flavor burst to your jaw. Everything about this screams well balanced while adhering to the West Coat style. And whaddya know, this beer invented the damn West Coat Imperial Ipa Style!

I will say, their only competition would be Alvarado atm, along with Cellarmaker.

There's a couple up and comers. Another OG would be Boneyard brewing who took a malt heavy approach for their beers and somehow, they kept their integrity after the buyout and do have the price advantage over Russian River. Bay Area beer heads are blessed with those two and Cellarmaker, BareBottle, Revision, and Field Works, to go along with the San Diego breweries that make their way up there."
Popular,Pliny The Elder,5,"A-exactly what a west coast IPA should look like
S-Exactly what a west coast IPA should smell like
T-balance bitter piney grapefruit. Exactly what a WCIPA should taste like
M-astringent clean and finishes dry
O-The standard for West coast IPA's"
Popular,Pliny The Elder,4,"In this modern era of IPAs; this doesn't hold up to the hype. Don't get me wrong, it's a great IPA. I can see how a decade ago it was mind blowing. Today its very common place. Breweries like Revision and Alvarado are routinely cranking out IPAs that are much tastier. I'd def drink this all the time if it was more reasonably priced."
Popular,Pliny The Elder,4.6,"Russian River Pliny the Elder Imperial IPA, 8% ABV. Pours clear golden with 4+ finger off-white head that left huge foamy lacing. Nose is fruity and malty with light pine. Taste is fruity honey, lightly piney, slightly sweet and moderately bitter. Real nice mouthfeel with good carbonation, and a dry finish. Overall world-class. Should have bought more."
Popular,Pliny The Elder,4.3,"Took nearly 20 years to finally get ahold of a bottle, and this one is reasonably fresh, bottled 4/25/22. So, almost exactly 6 weeks from bottling.
Nice fresh aroma with a nice mix of scents with fruit and freshness and herbs and sweetness. More golden than many with a slight haze. Nice dense white head that settles some with some lacing.
Boy, those are some nice flavors. The bitterness level being high is certainly old school and a little more than I want, but it's not ripping my tongue off either. Hops are so fresh on this and almost clean. Flavors are a little more herbal and grassy than the aroma but still some nice fruit qualities as well.
Body is only a little bigger than moderate but there is nice smoothness and richness that makes the feels soft and full. Not really sticky though.
This is good. And certainly worth the time it took to finally get one. I like the ""cleanliness"" of this. Not sure how else to describe it."
Popular,Pliny The Elder,4.68,"Poured from a bottle (bought in early Feb 2022) into a pint glass.

A: Clear, bright, straw yellow body. Frothy white head that sticks to the glass and leaves complex lacing.

S: Probably the best part. Very bright. A perfect blend of pine, mellow citrus, tropical fruit, and honey. It’s actually perfect.

T: The Simcoe hops really shine through here. A tad bit sweet and bitter but extremely well balanced. Does not leave a bitter or a cloying aftertaste. Fresh and sunny like morning dew on a pine tree.

M: Crisp and smooth. Leaves a clean mouthfeel.

Overall: One of my favorites beers I’ve had, certainly the best IPA. The reputation is deserved, well done to Russian River."
